iter	Passed	Remaining
0	18	18438
1	34	17287
2	48	16010
3	61	15220
4	72	14395
5	83	13804
6	93	13227
7	101	12621
8	109	12032
9	116	11513
10	122	11050
11	129	10678
12	136	10356
13	144	10192
14	153	10086
15	163	10058
16	171	9937
17	179	9809
18	186	9646
19	193	9492
20	200	9345
21	207	9222
22	214	9104
23	220	8985
24	227	8868
25	234	8767
26	241	8716
27	248	8627
28	255	8541
29	261	8464
30	268	8388
31	275	8330
32	282	8263
33	288	8204
34	309	8523
35	329	8820
36	349	9095
37	369	9351
38	392	9672
39	410	9852
40	421	9855
41	430	9815
42	438	9750
43	447	9717
44	459	9741
45	465	9657
46	472	9586
47	480	9523
48	486	9450
49	493	9379
50	500	9310
51	507	9245
52	513	9178
53	520	9116
54	527	9057
55	533	9000
56	540	8945
57	547	8888
58	554	8836
59	560	8782
60	567	8731
61	573	8680
62	580	8632
63	587	8585
64	593	8540
65	600	8497
66	607	8453
67	614	8421
68	623	8417
69	633	8411
70	642	8411
71	649	8371
72	657	8350
73	664	8313
74	671	8278
75	678	8244
76	684	8211
77	691	8177
78	698	8144
79	705	8112
80	712	8080
81	719	8054
82	726	8022
83	732	7992
84	739	7961
85	746	7930
86	752	7901
87	759	7875
88	766	7848
89	773	7821
90	780	7796
91	787	7767
92	793	7741
93	800	7715
94	807	7690
95	814	7665
96	821	7646
97	830	7642
98	839	7637
99	848	7632
100	860	7657
101	873	7691
102	884	7706
103	893	7696
104	903	7698
105	911	7687
106	918	7664
107	925	7641
108	932	7618
109	938	7595
110	945	7571
111	951	7547
112	958	7525
113	965	7504
114	975	7503
115	984	7504
116	991	7485
117	999	7473
118	1006	7451
119	1012	7428
120	1019	7406
121	1026	7385
122	1032	7364
123	1039	7344
124	1046	7323
125	1052	7302
126	1060	7289
127	1067	7270
128	1074	7252
129	1081	7234
130	1087	7216
131	1094	7198
132	1101	7179
133	1108	7163
134	1115	7148
135	1122	7131
136	1129	7114
137	1136	7099
138	1143	7083
139	1150	7066
140	1157	7052
141	1164	7036
142	1171	7020
143	1179	7012
144	1190	7018
145	1198	7012
146	1206	6999
147	1215	6996
148	1224	6992
149	1232	6985
150	1239	6970
151	1246	6955
152	1254	6943
153	1263	6939
154	1271	6934
155	1280	6929
156	1288	6920
157	1295	6905
158	1302	6889
159	1309	6874
160	1317	6866
161	1324	6852
162	1331	6838
163	1338	6824
164	1345	6810
165	1352	6795
166	1359	6782
167	1367	6770
168	1373	6755
169	1380	6741
170	1387	6726
171	1394	6712
172	1401	6698
173	1409	6690
174	1418	6687
175	1427	6683
176	1435	6676
177	1444	6671
178	1453	6667
179	1461	6659
180	1469	6649
181	1476	6637
182	1483	6624
183	1490	6610
184	1497	6599
185	1504	6585
186	1512	6574
187	1521	6569
188	1529	6562
189	1536	6548
190	1543	6536
191	1551	6528
192	1559	6520
193	1568	6515
194	1575	6505
195	1583	6496
196	1604	6541
197	1625	6582
198	1645	6622
199	1664	6658
200	1678	6673
201	1693	6689
202	1708	6707
203	1718	6707
204	1727	6699
205	1735	6690
206	1743	6679
207	1754	6681
208	1762	6671
209	1770	6661
210	1778	6649
211	1784	6634
212	1791	6620
213	1798	6605
214	1805	6590
215	1811	6575
216	1818	6560
217	1824	6546
218	1831	6532
